"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"40572","11000UQ152PS202002050026","UQS200","UQS210"," ","UQS210","11000URZ202001280147","11000NTC202001280023","주차장","11000","6","EMA0009","2020-02-05 00:00:00.0","2344.00902700","206.95611226"
"40573","11000UQ152PS202002050027","UQS200","UQS210"," ","UQS210","11000URZ202001280148","11000NTC202001280023","주차장","11000","7","EMA0009","2020-02-05 00:00:00.0","7584.44762816","374.15010141"
"40574","11560UQ152PS202005060001","UQS500","UQS520"," ","UQS520","11560URZ202004160001","11560NTC202004160001","도시철도","11560"," ","EMA0009","2020-05-06 00:00:00.0","9160.34491042","2214.89438367"
"40575","11000UQ152PS202002050029","UQS200","UQS210"," ","UQS210","11000URZ202001280124","11000NTC202001280023","주차장","11000","9","EMA0009","2020-02-05 00:00:00.0","1342.77381792","144.83113740"
"40576","11000UQ152PS202002050030","UQS200","UQS210"," ","UQS210","11000URZ202001280120","11000NTC202001280023","주차장","11000","2","EMA0009","2020-02-05 00:00:00.0","2636.16023146","210.11561495"
"40577","11560UQ152PS202005060002","UQS500","UQS520"," ","UQS520","11560URZ202004160001","11560NTC202004160001","도시철도","11560"," ","EMA0009","2020-05-06 00:00:00.0","9160.34491042","2214.89438367"
"40578","11000UQ152PS202007060001","UQS500","UQSA52"," ","UQSA52","11650URZ202007060001","11000NTC202007060002","지하철역사","11000"," ","EMA0009","2020-07-06 00:00:00.0","6310.92479943","837.90589004"
"40579","11000UQ152PS202007240001","UQS200","UQS201"," ","UQS201","11650URZ202007240005","11000NTC202007240012","주차장","11000"," ","EMA0009","2020-07-24 00:00:00.0","5536.92474768","337.55928246"
"40580","11000UQ152PS202008240001","UQS200","UQS290"," ","UQS290","11000URZ202008100004","11440NTC202008100004","주차장시설 기타","11000"," ","EMA0009","2020-08-24 00:00:00.0","5358.00000000","417.20000000"
"40581","11530UQ152PS202008270001","UQS200","UQS290"," ","UQS290","11530URZ202008040018","11000NTC202008040013","주차장시설 기타","11530"," ","EMA0009","2020-08-27 00:00:00.0","511.36055000","93.90717830"
"40582","11000UQ152PS201912150148","UQS200","UQS210"," ","UQS210","11000URZ200104261097","11000NTC200104260584","노외주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","603.07743449","103.47108566"
